place,bright,dark
buildngs,drive-미연,밤공기-서교동의 밤
buildngs,sugarcoat-ash lune,over85-hojean
buildngs,"take me back-christopher,matoma",polarioid-지바노프
buildings,dreams-sofa,"소노라마-015b,나상현씨밴드"
buildings,paper-lil cats,silver moon-형광소년
forest,숲속힐링-아쿠아마린,awake-rhye
forest,숲속의 아침-이유하,"iFeel-(((o))),fkj"
forest,숲-최유리,reflections-hinata toshifumi
forest,I'm in love-백예린,dreams-helios
forest,숲의 아이-유아,Quiet resource-Evelyn Stein
glacier,Ice Ice baby-Vanilla,Cold as Ice-Foreigner
glacier,Snow(Hey oh)-Red hot chilli,Frozen-Mandonna
glacier,A Hazy Shade of Winter-Simon&Garfunkel,Winter wonderland-michael Buble
glacier,Winter winds-Mumford&Sons,Iceman-Bruce Springsteen
glacier,Snowblind-Black sabbath,Glacier-James Vincent Mcmorrow
mountain,Fire On The Mountain-The Marshall Tucker Band,The Climb-Miley Cyrus
mountain,Sing To The Mountain-Elephant Revival,"Take Me Home, Country Roads-John Denver"
mountain,Rocky Mountain High-John Denver,Blue Ridge Mountains-Fleet Foxes
mountain,Ain't No Mountain High Enough-Marvin Gaye And Tammi Terrel,The Mountains Win Again-Blues Traveler
mountain,High on a mountain-Hot Rize,Sugar Mountain-Neil Young
sea,The ocean-Mike Perry,여수밤바다-버스커버스커
sea,Sea-Ina Wroldsen,바다-최유리
sea,바다보러갈래-효린,summer-keshi
sea,Watermelon Sugar-Harry Styles,Far-SZA
sea,Levitating-Dua Lipa,glass-nekoi
street,Ditto-뉴진스,At Least We Tried-Giveon
street,Perfect Night-르세라핌,My Love Mine All Mine-Mitski
street,White tag NIKE-김승민,From A Woman-Mariah the Scientist
street,Stay with me-Miki Matsubara,SLOW DANCING IN THE DARK-Joji
street,Telephone Number-Junko Ohasi,Shirt-SZA
